id:ID,:LABEL,fullName,simpleName,color,dependencyProfileCategory,cohesion
com.fsck.k9.provider.EmailProvider$ThreadColumns,Module,com.fsck.k9.provider.EmailProvider$ThreadColumns,ThreadColumns,#cccccc,,
com.fsck.k9.preferences.IdentitySettings$SignatureSetting,Module,com.fsck.k9.preferences.IdentitySettings$SignatureSetting,SignatureSetting,#cccccc,hidden,
com.fsck.k9.preferences.Settings$FontSizeSetting,Module,com.fsck.k9.preferences.Settings$FontSizeSetting,FontSizeSetting,#cccccc,hidden,
com.fsck.k9.provider.AttachmentProvider,Module,com.fsck.k9.provider.AttachmentProvider,AttachmentProvider,#cccccc,outbound,
com.fsck.k9.message.extractors.MessagePreviewCreator,Module,com.fsck.k9.message.extractors.MessagePreviewCreator,MessagePreviewCreator,#cccccc,inbound,
com.fsck.k9.notification.NotificationHolder,Module,com.fsck.k9.notification.NotificationHolder,NotificationHolder,#cccccc,,
com.fsck.k9.mailstore.migrations.MigrationTo39,Module,com.fsck.k9.mailstore.migrations.MigrationTo39,MigrationTo39,#cccccc,,
com.fsck.k9.mailstore.CryptoResultAnnotation$CryptoError,Module,com.fsck.k9.mailstore.CryptoResultAnnotation$CryptoError,CryptoError,#cccccc,,
com.fsck.k9.view.RecipientSelectView$RecipientTokenViewHolder,Module,com.fsck.k9.view.RecipientSelectView$RecipientTokenViewHolder,RecipientTokenViewHolder,#cccccc,hidden,
com.fsck.k9.mailstore.StorageManager$StorageListener,Module,com.fsck.k9.mailstore.StorageManager$StorageListener,StorageListener,#cccccc,,
com.fsck.k9.Account$Searchable,Module,com.fsck.k9.Account$Searchable,Searchable,#cccccc,,
com.fsck.k9.message.html.BitcoinUriParser,Module,com.fsck.k9.message.html.BitcoinUriParser,BitcoinUriParser,#cccccc,,
com.fsck.k9.K9$LockScreenNotificationVisibility,Module,com.fsck.k9.K9$LockScreenNotificationVisibility,LockScreenNotificationVisibility,#cccccc,,
com.fsck.k9.fragment.MessageListFragmentComparators$ComparatorChain,Module,com.fsck.k9.fragment.MessageListFragmentComparators$ComparatorChain,ComparatorChain,#cccccc,,
com.fsck.k9.activity.MessageInfoHolder,Module,com.fsck.k9.activity.MessageInfoHolder,MessageInfoHolder,#cccccc,outbound,
com.fsck.k9.search.SqlQueryBuilder,Module,com.fsck.k9.search.SqlQueryBuilder,SqlQueryBuilder,#cccccc,transit,
com.fsck.k9.mailstore.migrations.MigrationsHelper,Module,com.fsck.k9.mailstore.migrations.MigrationsHelper,MigrationsHelper,#cccccc,hidden,
com.fsck.k9.mailstore.ThreadInfo,Module,com.fsck.k9.mailstore.ThreadInfo,ThreadInfo,#cccccc,,
com.fsck.k9.view.RecipientSelectView$TokenListener,Module,com.fsck.k9.view.RecipientSelectView$TokenListener,TokenListener,#cccccc,,
com.fsck.k9.provider.MessageProvider$AccountExtractor,Module,com.fsck.k9.provider.MessageProvider$AccountExtractor,AccountExtractor,#cccccc,outbound,
com.fsck.k9.K9$NotificationHideSubject,Module,com.fsck.k9.K9$NotificationHideSubject,NotificationHideSubject,#cccccc,,
com.fsck.k9.service.BootReceiver,Module,com.fsck.k9.service.BootReceiver,BootReceiver,#cccccc,outbound,
com.fsck.k9.preferences.Settings$StringSetting,Module,com.fsck.k9.preferences.Settings$StringSetting,StringSetting,#cccccc,hidden,
com.fsck.k9.helper.ReplyToParser$ReplyToAddresses,Module,com.fsck.k9.helper.ReplyToParser$ReplyToAddresses,ReplyToAddresses,#cccccc,,
com.fsck.k9.preferences.SettingsImporter,Module,com.fsck.k9.preferences.SettingsImporter,SettingsImporter,#cccccc,transit,
com.fsck.k9.message.quote.InsertableHtmlContent,Module,com.fsck.k9.message.quote.InsertableHtmlContent,InsertableHtmlContent,#cccccc,inbound,
com.fsck.k9.preferences.Settings$WebFontSizeSetting,Module,com.fsck.k9.preferences.Settings$WebFontSizeSetting,WebFontSizeSetting,#cccccc,hidden,
com.fsck.k9.activity.K9ListActivity,Module,com.fsck.k9.activity.K9ListActivity,K9ListActivity,#cccccc,outbound,
com.fsck.k9.message.html.UriLinkifier,Module,com.fsck.k9.message.html.UriLinkifier,UriLinkifier,#cccccc,hidden,
com.fsck.k9.service.StorageGoneReceiver,Module,com.fsck.k9.service.StorageGoneReceiver,StorageGoneReceiver,#cccccc,outbound,
com.fsck.k9.mailstore.StoreSchemaDefinition$RealMigrationsHelper,Module,com.fsck.k9.mailstore.StoreSchemaDefinition$RealMigrationsHelper,RealMigrationsHelper,#cccccc,hidden,
com.fsck.k9.service.PollService$Listener,Module,com.fsck.k9.service.PollService$Listener,Listener,#cccccc,outbound,
com.fsck.k9.controller.PendingCommandSerializer,Module,com.fsck.k9.controller.PendingCommandSerializer,PendingCommandSerializer,#cccccc,inbound,
com.fsck.k9.helper.jsoup.NodeFilter$HeadFilterDecision,Module,com.fsck.k9.helper.jsoup.NodeFilter$HeadFilterDecision,HeadFilterDecision,#cccccc,,
com.fsck.k9.ui.messageview.CryptoInfoDialog$OnClickShowCryptoKeyListener,Module,com.fsck.k9.ui.messageview.CryptoInfoDialog$OnClickShowCryptoKeyListener,OnClickShowCryptoKeyListener,#cccccc,hidden,
com.fsck.k9.view.MessageTitleView,Module,com.fsck.k9.view.MessageTitleView,MessageTitleView,#cccccc,inbound,
com.fsck.k9.message.html.HtmlSanitizer,Module,com.fsck.k9.message.html.HtmlSanitizer,HtmlSanitizer,#cccccc,hidden,
com.fsck.k9.activity.compose.ComposeCryptoStatus$AttachErrorState,Module,com.fsck.k9.activity.compose.ComposeCryptoStatus$AttachErrorState,AttachErrorState,#cccccc,,
com.fsck.k9.activity.AlternateRecipientAdapter$AlternateRecipientListener,Module,com.fsck.k9.activity.AlternateRecipientAdapter$AlternateRecipientListener,AlternateRecipientListener,#cccccc,hidden,
com.fsck.k9.activity.setup.AccountSetupCheckSettings$CheckAccountTask,Module,com.fsck.k9.activity.setup.AccountSetupCheckSettings$CheckAccountTask,CheckAccountTask,#cccccc,outbound,
com.fsck.k9.activity.setup.AccountSetupBasics$Provider,Module,com.fsck.k9.activity.setup.AccountSetupBasics$Provider,Provider,#cccccc,,
com.fsck.k9.message.html.HtmlProcessor,Module,com.fsck.k9.message.html.HtmlProcessor,HtmlProcessor,#cccccc,hidden,
com.fsck.k9.view.ViewSwitcher,Module,com.fsck.k9.view.ViewSwitcher,ViewSwitcher,#cccccc,transit,
com.fsck.k9.power.DozeChecker,Module,com.fsck.k9.power.DozeChecker,DozeChecker,#cccccc,inbound,
com.fsck.k9.preferences.StorageEditor,Module,com.fsck.k9.preferences.StorageEditor,StorageEditor,#cccccc,inbound,
com.fsck.k9.activity.UnreadWidgetConfiguration,Module,com.fsck.k9.activity.UnreadWidgetConfiguration,UnreadWidgetConfiguration,#cccccc,transit,
com.fsck.k9.service.RemoteControlService,Module,com.fsck.k9.service.RemoteControlService,RemoteControlService,#cccccc,outbound,
com.fsck.k9.EmailAddressValidator,Module,com.fsck.k9.EmailAddressValidator,EmailAddressValidator,#cccccc,inbound,
com.fsck.k9.controller.MessagingController$MessageActor,Module,com.fsck.k9.controller.MessagingController$MessageActor,MessageActor,#cccccc,hidden,
com.fsck.k9.ui.messageview.MessageViewFragment$MessageViewFragmentListener,Module,com.fsck.k9.ui.messageview.MessageViewFragment$MessageViewFragmentListener,MessageViewFragmentListener,#cccccc,hidden,
com.fsck.k9.fragment.AttachmentDownloadDialogFragment,Module,com.fsck.k9.fragment.AttachmentDownloadDialogFragment,AttachmentDownloadDialogFragment,#cccccc,outbound,
com.fsck.k9.search.ConditionsTreeNode$Operator,Module,com.fsck.k9.search.ConditionsTreeNode$Operator,Operator,#cccccc,,
com.fsck.k9.helper.ClipboardManager,Module,com.fsck.k9.helper.ClipboardManager,ClipboardManager,#cccccc,inbound,
com.fsck.k9.mailstore.LocalFolder,Module,com.fsck.k9.mailstore.LocalFolder,LocalFolder,#cccccc,transit,
com.fsck.k9.K9$Intents,Module,com.fsck.k9.K9$Intents,Intents,#cccccc,,
com.fsck.k9.message.AutocryptStatusInteractor$RecipientAutocryptStatus,Module,com.fsck.k9.message.AutocryptStatusInteractor$RecipientAutocryptStatus,RecipientAutocryptStatus,#cccccc,inbound,
com.fsck.k9.preferences.GlobalSettings$SettingsUpgraderV31,Module,com.fsck.k9.preferences.GlobalSettings$SettingsUpgraderV31,SettingsUpgraderV31,#cccccc,hidden,
com.fsck.k9.controller.MessagingControllerCommands$PendingExpunge,Module,com.fsck.k9.controller.MessagingControllerCommands$PendingExpunge,PendingExpunge,#cccccc,inbound,
com.fsck.k9.ui.ContactBadge,Module,com.fsck.k9.ui.ContactBadge,ContactBadge,#cccccc,inbound,
com.fsck.k9.activity.compose.IdentityAdapter$IdentityHolder,Module,com.fsck.k9.activity.compose.IdentityAdapter$IdentityHolder,IdentityHolder,#cccccc,,
com.fsck.k9.provider.EmailProvider$SpecialColumnsCursor,Module,com.fsck.k9.provider.EmailProvider$SpecialColumnsCursor,SpecialColumnsCursor,#cccccc,hidden,
com.fsck.k9.activity.compose.IdentityAdapter$AccountHolder,Module,com.fsck.k9.activity.compose.IdentityAdapter$AccountHolder,AccountHolder,#cccccc,,
com.fsck.k9.helper.K9AlarmManager,Module,com.fsck.k9.helper.K9AlarmManager,K9AlarmManager,#cccccc,transit,
com.fsck.k9.preferences.Settings$PseudoEnumSetting,Module,com.fsck.k9.preferences.Settings$PseudoEnumSetting,PseudoEnumSetting,#cccccc,hidden,
com.fsck.k9.message.quote.HtmlQuoteCreator,Module,com.fsck.k9.message.quote.HtmlQuoteCreator,HtmlQuoteCreator,#cccccc,outbound,
