id,:TYPE,:START_ID,:END_ID,references,dependencyTypes,nrDependencies:INT,nrCalls:INT
weka.classifiers.trees.J48-calls-weka.classifiers.trees.j48.BinC45ModelSelection,CALLS,weka.classifiers.trees.J48,weka.classifiers.trees.j48.BinC45ModelSelection,{},compile_time,1,
weka.classifiers.lazy.KStar-calls-weka.core.TechnicalInformation,CALLS,weka.classifiers.lazy.KStar,weka.core.TechnicalInformation,{},compile_time,5,
weka.filters.unsupervised.instance.SubsetByExpression-calls-weka.filters.SimpleBatchFilter,CALLS,weka.filters.unsupervised.instance.SubsetByExpression,weka.filters.SimpleBatchFilter,{},compile_time,1,
weka.filters.supervised.attribute.MergeNominalValues-calls-weka.core.RevisionUtils,CALLS,weka.filters.supervised.attribute.MergeNominalValues,weka.core.RevisionUtils,{},compile_time,1,
weka.clusterers.FarthestFirst-calls-weka.core.Instance,CALLS,weka.clusterers.FarthestFirst,weka.core.Instance,{},compile_time,6,
weka.core.ProtectedProperties-calls-weka.core.RevisionUtils,CALLS,weka.core.ProtectedProperties,weka.core.RevisionUtils,{},compile_time,1,
weka.core.DenseInstance-calls-weka.core.Attribute,CALLS,weka.core.DenseInstance,weka.core.Attribute,{},compile_time,2,
weka.gui.beans.IncrementalClassifierEvaluator-calls-weka.classifiers.Evaluation,CALLS,weka.gui.beans.IncrementalClassifierEvaluator,weka.classifiers.Evaluation,{},compile_time,1,
weka.core.ListOptions-calls-weka.core.RevisionUtils,CALLS,weka.core.ListOptions,weka.core.RevisionUtils,{},compile_time,1,
weka.classifiers.CostMatrix-calls-weka.core.RevisionUtils,CALLS,weka.classifiers.CostMatrix,weka.core.RevisionUtils,{},compile_time,1,
weka.filters.Filter-calls-weka.core.Option,CALLS,weka.filters.Filter,weka.core.Option,{},compile_time,3,
weka.knowledgeflow.steps.BoundaryPlotter-calls-weka.gui.boundaryvisualizer.KDDataGenerator,CALLS,weka.knowledgeflow.steps.BoundaryPlotter,weka.gui.boundaryvisualizer.KDDataGenerator,{},compile_time,1,
weka.classifiers.meta.MultiClassClassifier$ExhaustiveCode-calls-weka.core.RevisionUtils,CALLS,weka.classifiers.meta.MultiClassClassifier$ExhaustiveCode,weka.core.RevisionUtils,{},compile_time,1,
weka.core.converters.C45Loader-calls-weka.core.RevisionUtils,CALLS,weka.core.converters.C45Loader,weka.core.RevisionUtils,{},compile_time,1,
weka.estimators.KernelEstimator-calls-weka.core.RevisionUtils,CALLS,weka.estimators.KernelEstimator,weka.core.RevisionUtils,{},compile_time,1,
weka.classifiers.rules.JRip-calls-weka.core.TechnicalInformation,CALLS,weka.classifiers.rules.JRip,weka.core.TechnicalInformation,{},compile_time,6,
weka.classifiers.bayes.net.EditableBayesNet$RenameAction-calls-weka.classifiers.bayes.net.EditableBayesNet$UndoAction,CALLS,weka.classifiers.bayes.net.EditableBayesNet$RenameAction,weka.classifiers.bayes.net.EditableBayesNet$UndoAction,{},compile_time,1,
weka.core.expressionlanguage.common.Operators$Multiplication-calls-weka.core.expressionlanguage.common.Primitives$DoubleExpression,CALLS,weka.core.expressionlanguage.common.Operators$Multiplication,weka.core.expressionlanguage.common.Primitives$DoubleExpression,{},compile_time,2,
weka.filters.unsupervised.attribute.Center-calls-weka.core.RevisionUtils,CALLS,weka.filters.unsupervised.attribute.Center,weka.core.RevisionUtils,{},compile_time,1,
weka.attributeSelection.WrapperSubsetEval-calls-weka.core.TechnicalInformation,CALLS,weka.attributeSelection.WrapperSubsetEval,weka.core.TechnicalInformation,{},compile_time,9,
weka.classifiers.bayes.net.MarginCalculator$JunctionTreeSeparator-calls-weka.classifiers.bayes.net.MarginCalculator,CALLS,weka.classifiers.bayes.net.MarginCalculator$JunctionTreeSeparator,weka.classifiers.bayes.net.MarginCalculator,{},compile_time,2,
weka.estimators.EstimatorUtils-calls-weka.core.RevisionUtils,CALLS,weka.estimators.EstimatorUtils,weka.core.RevisionUtils,{},compile_time,1,
weka.classifiers.pmml.producer.LogisticProducerHelper-calls-weka.core.pmml.jaxbbindings.RegressionTable,CALLS,weka.classifiers.pmml.producer.LogisticProducerHelper,weka.core.pmml.jaxbbindings.RegressionTable,{},compile_time,1,
